Chi nhánh/Phòng giao dịch,Địa chỉ
DongA Bank - Ngân hàng TMCP Đông Á - PGD Ô Môn,"260/5 Quốc Lộ 91, Phường Châu Văn Liêm, Quận Ô Môn, Thành phố Cần Thơ, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - PGD Nơ Trang Long,"52 Nơ Trang Long, Phường 14, Quận Bình Thạnh, TP. Hồ Chí Minh, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - PGD Thanh Đa,760 Xô Viết Nghệ Tĩnh P.25 Q.Bình Thạnh HCM
DongA Bank - Ngân hàng TMCP Đông Á - PGD Saigon Pearl,"92 Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, TP. Hồ Chí Minh, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - PGD Bạch Đằng,"68 Bạch Đằng, Phường 24, Quận Bình Thạnh, TP. Hồ Chí Minh, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - CN Củ Chi,"398 QL 22, Ấp Tân lập, Xã Tân Thông Hội, Huyện Củ Chi, TP. Hồ Chí Minh"
DongA Bank - Ngân hàng TMCP Đông Á - CN Gò Vấp,"91 Nguyễn Thái Sơn, Phường 04, Quận Gò Vấp, TP. Hồ Chí Minh, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - PGD Nguyễn Văn Nghi,"362A Nguyễn Văn Nghi, Phường 07, Quận Gò Vấp, TP. Hồ Chí Minh, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - PGD Nguyễn Oanh,"101 Nguyễn Oanh, Phường 10, Quận Gò Vấp, TP. Hồ Chí Minh, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - PGD Quang Trung,"270 Quang Trung, Phường 10, Quận Gò Vấp, TP. Hồ Chí Minh, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - PGD Hạnh Thông Tây,"7B/3B Quang Trung, Phường 11, Quận Gò Vấp, TP. Hồ Chí Minh, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - CN Phú Nhuận,"139 Nguyễn Văn Trỗi, Phường 12, Quận Phú Nhuận, TP. Hồ Chí Minh, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - PGD Phan Xích Long,"128 Phan Xích Long, Phường 02, Quận Phú Nhuận, TP. Hồ Chí Minh, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - CN Thành phố Hồ Chí Minh,"130 Phan Đăng Lưu, Phường 03, Quận Phú Nhuận, TP. Hồ Chí Minh, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - PGD Phạm Ngũ Lão,"187 Phạm Ngũ Lão, Phường Phạm Ngũ Lão, Quận 1, TP. Hồ Chí Minh, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - CN Quận 1,"56-58 Nguyễn Công Trứ, Phường Nguyễn Thái Bình, Quận 1, TP. Hồ Chí Minh, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - PGD Hai Bà Trưng,"164 Hai Bà Trưng, Phường Đa Kao, Quận 1, TP. Hồ Chí Minh, Việt Nam"
DongA Bank - NGÂN HÀNG TMCP ĐÔNG Á - CN ĐINH TIÊN HOÀNG,"9 Đinh Tiên Hoàng, Phường Đa Kao, Quận 1, TP. Hồ Chí Minh, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á – CN Quận 10,"828 Sư Vạn Hạnh, Phường 13, Quận 10, TP. Hồ Chí Minh, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á– CN Quận 10 – PGD 3 Tháng 2,"3-3C 3 tháng 2, Phường 11, Quận 10, TP. Hồ Chí Minh, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - Chi nhánh Quận 3 – Phòng giao dịch Cư Xá Bắc Hải,"48 Đồng Nai, Quận 10, TP. Hồ Chí Minh, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - PGD Lê Đại Hành,"249 Lê Đại Hành, Phường 13, Quận 11, TP. Hồ Chí Minh, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - PGD An Sương,"183/4 Trường Chinh, Phường Tân Hưng Thuận, Quận 12, TP. Hồ Chí Minh, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - CN Quận 3,"468 Nguyễn Thị Minh Khai, Phường 02, Quận 3, TP. Hồ Chí Minh, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - Phòng giao dịch Trương Định,"70 Trương Định, Phường 07, Quận 3, TP. Hồ Chí Minh, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - PGD Lê Văn Sỹ,"343 Lê Văn Sỹ, Phường 13, Quận 3, Tp.Hồ Chí Minh"
DongA Bank - Ngân hàng Đông Á - CN Quận 4,"154-156-158 Nguyễn Tất Thành, Phường 13, Quận 4, TP. Hồ Chí Minh, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - CN Quận 5,"418 Trần Phú, Phường 07, Quận 5, TP. Hồ Chí Minh, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - PGD An Đông,"98 An Dương Vương, Phường 09, Quận 5, TP. Hồ Chí Minh, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - PGD Bình Tây,"8 Hậu Giang, Phường 02, Quận 6, TP. Hồ Chí Minh, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - PGD Phú Mỹ Hưng,"G002 Khu phố Mỹ Phước, đường Nguyễn Văn Linh, phường Tân Phong, Quận 7, TPHCM"
DongA Bank - Ngân hàng TMCP Đông Á - CN Quận 9,"218 Lê Văn Việt, Phường Tăng Nhơn Phú B, Quận 9, TP. Hồ Chí Minh, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - PGD Thủ Đức,"346 Võ Văn Ngân, Phường Bình Thọ, Quận Thủ Đức, TP. Hồ Chí Minh, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - PGD Lý Thường Kiệt,"521-521A Lý Thường Kiệt, Phường 08, Quận Tân Bình, TP. Hồ Chí Minh, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - PGD Bà Quẹo,"503 Trường Chinh, Phường 14, Quận Tân Bình, TP. Hồ Chí Minh, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - PGD Cách Mạng Tháng 8,"749-751 CMT8, Phường 14, Quận Tân Bình, TP. Hồ Chí Minh, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - CN Tân Bình,"235-241 Cộng Hòa, Phường 13, Quận Tân Bình, TP. Hồ Chí Minh, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - PGD Âu Cơ,"453 Âu Cơ, Phường Phú Trung, Quận Tân Phú, TP. Hồ Chí Minh, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - PGD Nguyễn Sơn,"312 Nguyễn Sơn, Phường Phú Thọ Hoà, Quận Tân Phú, TP. Hồ Chí Minh, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - Chi nhánh Tân Bình - PGD Tân Phú,"23-27-29 Trương Vĩnh Ký, Phường Tân Thành, Quận Tân Phú, TP. Hồ Chí Minh, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - PGD Lê Trọng Tấn,"335 Lê Trọng Tấn, Phường Sơn Kỳ, Quận Tân Phú, TP. Hồ Chí Minh, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - PGD Trường Chinh,"763 Trường Chinh, Phường Tây Thạnh, Quận Tân Phú, TP. Hồ Chí Minh, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - PGD Thủy Nguyên,"111-113 Bạch Đằng, Thị trấn Núi Đèo, Huyện Thuỷ Nguyên, Thành phố Hải Phòng, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - PGD Hồng Bàng,"160 Quang Trung, Phường Phạm Hồng Thái, Quận Hồng Bàng, Thành phố Hải Phòng, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - PGD Kiến An,"222 Trần Thành Ngọ, Phường Trần Thành Ngọ, Quận Kiến An, Thành phố Hải Phòng, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - CN Hải Phòng,"262 Tô Hiệu, Phường Hồ Nam, Quận Lê Chân, Thành phố Hải Phòng, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - PGD Ngô Quyền,"163 Đà Nẵng, Phường Lạc Viên, Quận Ngô Quyền, Thành phố Hải Phòng, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - PGD Cẩm Lệ,"871 Nguyễn Hữu Thọ, Phường Khuê Trung, Quận Cẩm Lệ, Thành phố Đà Nẵng, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - PGD Hòa Vang,"Lô số 14, Khu chợ Túy Loan QL 14B, Xã Hoà Phong, Huyện Hoà Vang, Thành phố Đà Nẵng, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - CN Đà Nẵng - PGD Phan Đình Phùng,"32 Phan Đình Phùng, Phường Hải Châu I, Quận Hải Châu, Thành phố Đà Nẵng, Việt Nam"
DongA Bank - PGD 24 giờ Đà Nẵng (số 02),"172 Quang Trung, Phường Thạch Thang, Quận Hải Châu, Thành phố Đà Nẵng, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - PGD Đống Đa,"260 Đống Đa, Phường Thanh Bình, Quận Hải Châu, Thành phố Đà Nẵng, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - CN Đà Nẵng,"167 Nguyễn Văn Linh, Phường Nam Dương, Quận Hải Châu, Thành phố Đà Nẵng, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - PGD Hòa Cường,"417 Núi Thành, Phường Hoà Cường Bắc, Quận Hải Châu, Thành phố Đà Nẵng, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - PGD Hải Châu,"217 Ông Ích Khiêm, Phường Hải Châu II, Quận Hải Châu, Thành phố Đà Nẵng, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - PGD Hòa Khánh,"68 Nguyễn Lương Bằng, Phường Hoà Khánh Băc, Quận Liên Chiểu, Thành phố Đà Nẵng, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - PGD Ngũ Hành Sơn,"47 Ngũ Hành Sơn, Phường Mỹ An, Quận Ngũ Hành Sơn, Thành phố Đà Nẵng, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - PGD Điện Biên Phủ,"478 Điện Biên Phủ, Phường Thanh Khê Đông, Quận Thanh Khê, Thành phố Đà Nẵng, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - PGD Càng Long,"QL 53, Khóm 2, Thị trấn Càng Long, Huyện Càng Long, Tỉnh Trà Vinh, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - PGD Chợ Trà Vinh,"17A Phạm Thái Bường, Phường 3, Thành phố Trà Vinh, Tỉnh Trà Vinh, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - CN Trà Vinh,"27 Nguyễn Đáng, Phường 9, Thành phố Trà Vinh, Tỉnh Trà Vinh, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - PGD Long Hoa,"47/5A Hùng Vương, Khu phố 4, Thị trấn Hòa Thành, Huyện Hòa Thành, Tỉnh Tây Ninh, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - CN Tây Ninh,"540 30 tháng 4, Phường 3, Thành phố Tây Ninh, Tỉnh Tây Ninh, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - PGD Vũng Liêm,"123 NKKN, Khóm 1, Thị trấn Vũng Liêm, Huyện Vũng Liêm, Tỉnh Vĩnh Long, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - CN Vĩnh Long,"60/3 Phạm Thái Bường, Phường 4, Thành phố Vĩnh Long, Tỉnh Vĩnh Long, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - PGD Bình Minh,"127/15 Ngô Quyền, Phường Cái Vồn, Thị xã Bình Minh, Tỉnh Vĩnh Long, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - PGD Phúc Yên,"165 Hai Bà Trưng, Phường Hùng Vương, Thị xã Phúc Yên, Tỉnh Vĩnh Phúc, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - CN Vĩnh Phúc,"115 Hùng Vương, Phường Tích Sơn, Thành phố Vĩnh Yên, Tỉnh Vĩnh Phúc, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - CN ĐăkNông,"199 Nguyễn Tất Thành, Thị trấn Đắk Mil, Huyện Đắk Mil, Tỉnh Đăk Nông, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - PGD CưMgar,"78-80 Hùng Vương, Thị trấn Quảng Phú, Huyện Cư Mgar, Tỉnh Đăk Lăk, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - PGD Eakar,"3 Trần Hưng Đạo, Thị trấn Ea Kar, Huyện Ea Kar, Tỉnh Đăk Lăk, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - PGD EaH'leo,"545 Giải Phóng, Thị trấn Ea Drăng, Huyện Ea Hleo, Tỉnh Đăk Lăk, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - PGD KrôngPăc,"344B Giải Phóng, Thị trấn Phước An, Huyện Krông Pắc, Tỉnh Đăk Lăk, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - PGD EaTam,"418 Lê Duẩn, Phường Ea Tam, Thành phố Buôn Ma Thuột, Tỉnh Đăk Lăk, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - CN ĐăkLăk,"9 Phan Châu Trinh, Phường Thắng Lợi, Thành phố Buôn Ma Thuột, Tỉnh Đăk Lăk, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - PGD Buôn Hồ,"208 Hùng Vương, Phường An Bình, Thị xã Buôn Hồ, Tỉnh Đăk Lăk, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - PGD Đồng Khởi,"16-17 Lô 10 Đồng Khởi, Phường Tân Hiệp, Thành phố Biên Hòa, Tỉnh Đồng Nai, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - CN Đồng Nai,"Khu phố 9, Phường An Bình, Thành phố Biên Hòa, Tỉnh Đồng Nai, Việt Nam"
DongA Bank - Ngân hàng TMCP Đông Á - CN Đồng Tháp,"35 Quốc Lộ 30, Khóm Mỹ Phú, Phường Mỹ Phú, Thành phố Cao Lãnh, Tỉnh Đồng Tháp, Việt Nam"
EximBank - Phòng giao dịch Châu Phú,"Tổ 2, ấp Bình Chánh, xã Bình Long, H.Châu Phú, tỉnh An Giang"
EximBank - Phòng giao dịch Phú Tân,"Ấp Trung Hòa, Xã Tân Trung, Huyện Phú Tân, Tỉnh An Giang"
EximBank - Phòng giao dịch Châu Đốc,"56-58-60 Nguyễn Văn Thoại, P.Châu Phú A, Tp.Châu Đốc, Tỉnh An Giang"
EximBank - Phòng giao dịch Long Xuyên,"3/4 Tôn Đức Thắng, P.Mỹ Bình, Tp.Long Xuyên, Tỉnh An Giang"
EximBank - Chi nhánh An Giang,"46 Hai Bà Trưng, P.Mỹ Long, Tp.Long Xuyên, Tỉnh An Giang"
EximBank - Phòng giao dịch Tân Châu,"46 Thoại Ngọc Hầu, Tx.Tân Châu, tỉnh An Giang"
EximBank - Phòng giao dịch Ngãi Giao,"270 Hùng Vương, TT.Ngãi Giao, H.Châu Đức, tỉnh BR-VT"
EximBank - Phòng giao dịch Long Điền,"Ngã 3 Lò Vôi, Tỉnh lộ 44, Tổ 1, Ấp Lò Vôi, X.Phước Hưng, H.Long Điền, Tỉnh Bà Rịa Vũng Tàu"
EximBank - Phòng giao dịch Bà Rịa,"112-114 Bạch Đằng, P.Phước Trung, Tx.Bà Rịa, Tỉnh Bà Rịa Vũng Tàu"
EximBank - Phòng giao dịch 30 Tháng 4,"987 Đường 30/4, P.11, Tp.Vũng Tàu, Tỉnh Bà Rịa Vũng Tàu"
EximBank - Chi nhánh Bà Rịa - Vũng Tàu,"43 Trần Hưng Đạo, P.1, Tp.Vũng Tàu,Tỉnh Bà Rịa Vũng Tàu"
EximBank - Phòng giao dịch Tân Thành,"27 Quốc lộ 51, TT.Phú Mỹ, H.Tân Thành, Tỉnh Bà Rịa Vũng Tàu"
EximBank - Phòng giao dịch Mỹ Phước,"C4-Ô16 Khu I Đường DA1-1-Rupby Land, TT.Mỹ Phước, H.Bến Cát, Tỉnh Bình Dương"
EximBank - Phòng giao dịch Lái Thiêu,"499 Nguyễn Trãi, TT.Lái Thiêu, H.Thuận An, Tỉnh Bình Dương"
EximBank - Phòng giao dịch Bình Dương Canary,"Lô G22 Tầng trệt, Tòa nhà AEON CANARY, Đại lộ Bình Dương, P.Bình Hòa, Tx.Thuận An, tỉnh Bình Dương"
EximBank - Phòng giao dịch Tân Phước Khánh,"01 Tổ 1, Khu phố Khánh Thạnh, P.Tân Phước Khánh, Tx.Tân Uyên, H.Tân Uyên, tỉnh Bình Dương"
EximBank - Phòng giao dịch Dĩ An,"228 Nguyễn An Ninh, P.Dĩ An, TX.Dĩ An, tỉnh Bình Dương"
EximBank - Chi nhánh Bình Dương,"244 Đại Lộ Bình Dương, P.Phú Hòa, Tp. Thủ Dầu Một, Tỉnh Bình Dương"
EximBank - Chi nhánh Bình Phước,"Một phần tầng trệt, tầng 1 và tầng 2, Trung Tâm Thương Mại ITC – Đồng Xoài, số 1029 Phú Riềng Đỏ, Tx.Đồng Xoài, tỉnh Bình Phước"
EximBank - Chi nhánh Bạc Liêu,"477 Trần Phú , P.7, Tp.Bạc Liêu, Tỉnh Bạc Liêu"
EximBank - Chi nhánh Ba Đình,"(Tầng 1 và Tầng 2) Tòa nhà Harec, số 4A Láng Hạ, P.Thành Công, Q.Ba Đình, Tp.Hà Nội"
EximBank - Văn Phòng Đại Diện tại Hà Nội,"(Tầng 1-5) Tòa nhà số 91 Phố Nguyễn Thái Học, P.Điện Biên, Q.Ba Đình, Hà Nội"
EximBank - Phòng giao dịch Lý Thường Kiệt,"15 Liễu Giai, P.Liễu Giai, Q.Ba Đình, Tp.Hà Nội"
EximBank - Phòng giao dịch Hàng Than,"18 Hàng Than, Q.Ba Đình, Tp.Hà Nội"
EximBank - Phòng giao dịch Nguyễn Thái Học,"(Tầng 1 + 2) Tòa nhà số 91 Phố Nguyễn Thái Học, P.Điện Biên, Q.Ba Đình, Tp.Hà Nội"
EximBank - Phòng giao dịch Trung Yên ,"143 Trung Kính, P.Trung Hòa, Q.Cầu Giấy, TP.Hà Nội"
EximBank - Phòng giao dịch Trung Hòa ,"89 Phố Nguyễn Thị Định,Tổ 9, P.Trung Hòa, Q.Cầu Giấy, Tp.Hà Nội"
EximBank - Phòng giao dịch Nguyễn Phong Sắc ,"Tầng 1,Tòa nhà Sannam, P.Dịch Vọng Hậu, Q.Cầu Giấy, Tp.Hà Nội"
EximBank - Phòng giao dịch Hoàng Quốc Việt,"Tầng 1, 136 Hoàng Quốc Việt, P.Nghĩa Tân, Q.Cầu Giấy, Tp.Hà Nội"
EximBank - Phòng giao dịch Lò Đúc,"(Tầng 1) 73 Lò Đúc, P.Phạm Đình Hổ, Q.Hai Bà Trưng, Hà Nội."
EximBank - Phòng giao dịch Bạch Mai,"(Tầng 2+3) số 134 Bạch Mai, P.Cầu Dền, Q. Hai Bà Trưng, Tp.Hà nội"
EximBank - Phòng giao dịch Trần Khát Chân,"439 Trần Khát Chân, P.Thanh Nhàn, Q. Hai Bà Trưng, Tp. Hà Nội"
EximBank - Phòng giao dịch Nguyễn Du ,"Tầng 1+2, Tòa nhà 76 Mai Hắc Đế, Q.Hai Bà Trưng, Tp.Hà Nội"
EximBank - Phòng giao dịch Bà Triệu,"113-115 Lê Duẩn, P.Cửa Nam, Q.Hoàn Kiếm, Tp.Hà Nội"
EximBank - Phòng giao dịch Hàng Bông,"Tầng 1 số 10-12-14 Cửa Nam, P.Cửa Nam, Q.Hoàn Kiếm, Tp. Hà Nội"
EximBank - Chi nhánh Hà Nội,"19 Trần Hưng Ðạo, Q.Hoàn Kiếm, Tp.Hà Nội"
EximBank - Phòng giao dịch Đồng Xuân,"16 Trần Nhật Duật, P.Đồng Xuân, Q. Hoàn Kiếm, Tp. Hà Nội"
EximBank - Phòng giao dịch Hà Đông ,"24 Quang Trung, Q.Hà Đông, Tp.Hà Nội"
EximBank - Chi nhánh Long Biên,"558 Nguyễn Văn Cừ, Q. Long Biên, Tp. Hà Nội"
EximBank - Phòng giao dịch Việt Hưng,"(Tầng 1) Số 567 Ngô Gia Tự, P.Đức Giang, Q.Long Biên , Tp.Hà Nội"
EximBank - Phòng giao dịch Mỹ Đình ,"237 Lê Đức Thọ, P.Mỹ Đình 2, Q.Nam Từ Liêm, Tp.Hà Nội"
EximBank - Phòng giao dịch Đồng Tâm ,"Tầng 1 Tòa nhà Vinaconex, số 57 Vũ Trọng Phụng, P.Thanh Xuân Trung, Q.Thanh Xuân, Tp.Hà Nội"
EximBank - Phòng giao dịch Cửa Đông ,"(Tầng 1,2) số 152 Khuất Duy Tiến, P.Nhân Chính, Q.Thanh Xuân, Tp.Hà Nội"
EximBank - Chi nhánh Cầu Giấy,"Tầng trệt Tòa nhà Machinco, số 444 Hoàng Hoa Thám, P.Thụy Khê, Q.Tây Hồ, Tp.Hà Nội"
EximBank - Phòng giao dịch Tây Hồ,"509B Lạc Long quân, P. Xuân La, Q. Tây Hồ, Tp. Hà Nội"
EximBank - Phòng giao dịch Bắc Từ Liêm,"107 Xuân La, P.Xuân Tảo, Q.Tây Hồ, Tp.Hà Nội"
EximBank - Phòng giao dịch Thăng Long ,"Trung tâm công nghệ - KCN Thăng Long, H.Đông Anh, Tp.Hà Nội"
EximBank - Chi nhánh Đống Đa,"(tầng 1 + tầng 2) Tòa nhà số 292 Tây Sơn, P.Trung Liệt, Q.Đống Đa, Tp.Hà Nội."
EximBank - Phòng giao dịch Nguyễn Chí Thanh,"Tầng 1 (Lô số 9) Tòa nhà M3-M4, số 91A Nguyễn Chí Thanh, P.Láng Hạ, Q.Đống Đa, Tp. Hà Nội"
EximBank - Phòng giao dịch Kim Liên,"206 Phố Xã Đàn, P.Phương Liên, Q.Đống Đa, Hà Nội"
EximBank - Chi nhánh Thủ Đô,"(Tầng 1 + Tầng 5) Tòa nhà số 257 Giải Phóng, P.Phương Mai, Q. Đống Đa, Tp. Hà Nội"
EximBank - Phòng giao dịch Diên Khánh,"246 Lạc Long Quân, TT.Diên Khánh, H.Diên Khánh, tỉnh Khánh Hòa"
EximBank - Chi nhánh Nha Trang,"63 Yersin, P.Phương Sài, Tp.Nha Trang, tỉnh Khánh Hòa"
EximBank - Phòng giao dịch Lê Hồng Phong,"30 Nguyễn Thị Định, P. Phước Long, Tp.Nha Trang, tỉnh Khánh Hòa"
EximBank - Phòng giao dịch Quang Trung,"398 Đường 2/4, P.Vĩnh Hải, Tp.Nha Trang, tỉnh Khánh Hòa"
EximBank - Chi nhánh Kiên Giang,"02-04 Phạm Hồng Thái, P.Vĩnh Thanh Vân, Tp.Rạch Giá, tỉnh Kiên Giang"
EximBank - Chi nhánh Long An,"42 Trà Quý Bình, P.2, Tp.Tân An, Tỉnh Long An"
EximBank - Phòng giao dịch Đức Trọng,"25 Thống Nhất, TT.Liên Nghĩa, H.Đức Trọng, tỉnh Lâm Đồng"
EximBank - Phòng giao dịch Bảo Lộc,"11 Đề Thám, P.1, Tx.Bảo Lộc, tỉnh Lâm Đồng"
EximBank - Phòng giao dịch Chi Lăng,"(Tầng trệt + lầu 1) số 101 Phan Chu Trinh, P.9, Tp.Đà Lạt, tỉnh Lâm Đồng"
EximBank - Chi nhánh Đà Lạt,"2D-2D/1-2E Nguyễn Văn Trỗi, P.1, Tp.Đà Lạt, tỉnh Lâm Đồng"
EximBank - Phòng giao dịch Diễn Châu,"Kiôt Số 2, TTTM Diễn Châu, H.Diễn Châu, Tỉnh Nghệ An."
EximBank - Phòng giao dịch Thanh Chương,"Khối 4, TT.Thanh Chương, H.Thanh Chương, tỉnh Nghệ An"
EximBank - Phòng giao dịch Yên Thành,"Khối 1, TT Yên Thành, H.Yên Thành, Tỉnh Nghệ An"
EximBank - Phòng giao dịch Đô Lương,"Khối 3, TT. Đô Lương, H.Đô Lương, Nghệ An."
EximBank - Phòng giao dịch Thái Phiên,"80 Thái Phiên, P.Hồng Sơn, TP.Vinh, Tỉnh Nghệ An"
EximBank - Phòng giao dịch Nam Vinh,"03 Nguyễn Thị Minh Khai, P.Lê Mao, TP.Vinh, Tỉnh Nghệ An"
EximBank - Phòng giao dịch Bắc Vinh,"150 Nguyễn Trãi, Tp. Vinh, Tỉnh Nghệ An"
EximBank - Chi nhánh Vinh,"182 Nguyễn Văn Cừ, P.Hưng Phúc, Tp Vinh, Tỉnh Nghệ An"
EximBank - Phòng giao dịch Nam Phước,"52 Điện Biên Phủ, TT.Nam Phước, H.Duy Xuyên, Tỉnh Quảng Nam"
EximBank - Phòng giao dịch Hội An,"330 Nguyễn Duy Hiệu, P.Sơn Phong, Tp.Hội An, tỉnh Quảng Nam"
EximBank - Chi nhánh Quảng Nam,"226-228, Phan Chu Trinh, TP.Tam Kỳ, tỉnh Quảng Nam"
EximBank - Chi nhánh Quảng Ngãi,"35A-35B Đại lộ Hùng Vương, TP.Quảng Ngãi"
EximBank - Phòng giao dịch Nguyễn Nghiêm,"268 Nguyễn Nghiêm, P.Nguyễn Nghiêm, TP.Quảng Ngãi"
EximBank - Chi nhánh Quảng Ninh,"14-16 Trần Hưng Đạo, P.Trần Hưng Đạo, Tp.Hạ Long, Tỉnh Quảng Ninh"
EximBank - Phòng giao dịch Hạ Long,"(Tầng trệt) Tòa nhà Bưu điện Hải Long, Tổ 2, Khu 2, P.Bãi Cháy, Tp.Hạ Long, Tỉnh Quảng Ninh"
EximBank - Phòng giao dịch Móng Cái,"01 Hùng Vương, P.Hòa Lạc, Tp.Móng Cái, tỉnh Quảng Ninh"
EximBank - Phòng giao dịch Cẩm Phả,"144 Trần Phú, Tổ 30B, P.Cẩm Tây, TX.Cẩm Phả, Tỉnh Quảng Ninh"
EximBank - Phòng giao dịch Quảng Yên,"66 Lê Lợi, TT Quảng Yên, H.Yên Hưng, Tỉnh Quảng Ninh"
EximBank - Phòng giao dịch Uông Bí,"434 Quang Trung, Tổ 29, Khu 8, P.Quang Trung, TX. Uông Bí, Quảng Ninh."
EximBank - Chi nhánh Huế,"205 Trần Hưng Đạo, P.Phú Hòa, TP.Huế"
EximBank - Phòng giao dịch Cai Lậy,"41 Đường 30/4, khu 2, Thị trấn Cai Lậy, huyện Cai Lậy, tỉnh Tiền Giang"
EximBank - Chi nhánh Mỹ Tho,"77-79 Lê Lợi, P. 1, Tp.Mỹ Tho, Tiền Giang"
EximBank - Phòng giao dịch Ấp Bắc,"366 Ấp Bắc, P.5, Tp.Mỹ Tho, Tỉnh Tiền Giang"
EximBank - Phòng giao dịch Trà Nóc,"37 Lê Hồng Phong, P.Bình Thủy, Q.Bình Thủy, TP.Cần Thơ"
EximBank - Phòng giao dịch Cái Răng,"171 Quốc lộ 1A, P.Lê Bình, Q.Cái Răng, Tp.Cần Thơ"
EximBank - Phòng giao dịch Cờ Đỏ,"21 – 22 Hà Huy Giáp (TL919), ấp Thới Thuận, TT.Cờ Đỏ, H.Cờ Đỏ, Tp.Cần Thơ"
EximBank - Phòng giao dịch Phong Điền,"Lô số 01, Dãy A5 Phan Văn Trị, TT.Phong Điền, H.Phong Điền, Tp.Cần Thơ"
